Gene ID	source_id	gene_source_id	Gene Name or Symbol	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Liver schizont - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Blood stage - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Hypnozoite - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	
PcyM_0010000	PcyM_0010000-t36_1	PcyM_0010000	N/A	0	2.88	0	
PcyM_0010100	PcyM_0010100-t36_1	PcyM_0010100	N/A	0	0	0	
PcyM_0010200	PcyM_0010200-t36_1	PcyM_0010200	N/A	0.06	0.79	0	
PcyM_0010300	PcyM_0010300-t36_1	PcyM_0010300	N/A	0	0.69	0	
PcyM_0010400	PcyM_0010400-t36_1	PcyM_0010400	N/A	1.21	12.1	0	
PcyM_0010500	PcyM_0010500-t36_1	PcyM_0010500	N/A	0	4.41	0	
PcyM_0010600	PcyM_0010600-t36_1	PcyM_0010600	N/A	0	3.35	1.2	
PcyM_0010700	PcyM_0010700-t36_1	PcyM_0010700	N/A	0	22.89	0.93	
PcyM_0010800	PcyM_0010800-t36_1	PcyM_0010800	N/A	0	0.69	0	
PcyM_0010900	PcyM_0010900-t36_1	PcyM_0010900	N/A	0	2.31	0	
PcyM_0011000	PcyM_0011000-t36_1	PcyM_0011000	N/A	0	6.5	0	
PcyM_0011050	PcyM_0011050-t36_1	PcyM_0011050	N/A	0	0.5	0	
PcyM_0011100	PcyM_0011100-t36_1	PcyM_0011100	N/A	0	4.27	1.31	
PcyM_0011300	PcyM_0011300-t36_1	PcyM_0011300	N/A	0	2.87	0	
PcyM_0011400	PcyM_0011400-t36_1	PcyM_0011400	N/A	0	5.7	0	
PcyM_0011500	PcyM_0011500-t36_1	PcyM_0011500	N/A	0	8.57	0	
PcyM_0011600	PcyM_0011600-t36_1	PcyM_0011600	N/A	0.11	5.47	0	
PcyM_0011700	PcyM_0011700-t36_1	PcyM_0011700	N/A	0	4.54	0	
PcyM_0011800	PcyM_0011800-t36_1	PcyM_0011800	N/A	0	3.35	0	
PcyM_0011900	PcyM_0011900-t36_1	PcyM_0011900	N/A	0	1.73	0	
PcyM_0012000	PcyM_0012000-t36_1	PcyM_0012000	N/A	0.33	21.9	2.21	
