Gene ID	source_id	smru1 - smru1 6 hours - unique (intraerythrocytic cycle)	smru1 - smru1 18 hours - unique (intraerythrocytic cycle)	smru1 - smru1 24 hours - unique (intraerythrocytic cycle)	smru1 - smru1 30 hours - unique (intraerythrocytic cycle)	smru1 - smru1 36 hours - unique (intraerythrocytic cycle)	smru1 - smru1 48 hours - unique (intraerythrocytic cycle)	smru1 - smru1 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 6 hours - unique (intraerythrocytic cycle)	smru2 - smru2 12 hours - unique (intraerythrocytic cycle)	smru2 - smru2 18 hours - unique (intraerythrocytic cycle)	smru2 - smru2 24 hours - unique (intraerythrocytic cycle)	smru2 - smru2 30 hours - unique (intraerythrocytic cycle)	smru2 - smru2 36 hours - unique (intraerythrocytic cycle)	smru2 - smru2 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 48 hours - unique (intraerythrocytic cycle)	
PVP01_0007740	PVP01_0007740.1	0.77	0.31	0.68	0.42	0	0.3	0	2.42	1.87	3	2.41	1.34	1	1.23	1.32	
PVP01_1257900	PVP01_1257900.1	11.5	24.24	65.11	74.66	85.02	46.9	70.47	36.6	12.51	48.79	71.86	83.37	78.26	57.51	41.3	
PVP01_0009600	PVP01_0009600.1	0.95	1.5	0	0	0.43	0.37	0.47	1.48	1.91	1.38	2.63	1.65	1.23	1.01	1.62	
PVP01_0009610	PVP01_0009610.1	0	0	0	0	0	0	0	4	5.14	3.1	11.09	6.65	0	0	4.37	
PVP01_1258800	PVP01_1258800.1	19.95	31.99	30.99	26.91	51.33	62.89	66.74	25.49	20.42	24.35	26.61	32.06	44.68	55.77	51.41	
PVP01_0007250	PVP01_0007250.1	0	0	0	0	0	0	0	1.64	0	1.27	0	0	0	0	0	
PVP01_0010010	PVP01_0010010.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0009400	PVP01_0009400.1	0.34	0	0.29	0	0	0.26	0.33	0.84	1.08	1.95	1.4	0.23	0	0.36	1.61	
PVP01_1260600	PVP01_1260600.1	1.66	0.33	5.11	14.98	4.55	4.9	7.43	2.6	0.33	0.4	4.91	4.33	3.23	6.64	3.13	
PVP01_0009420	PVP01_0009420.1	0	0.39	0.43	0.54	0.45	0	0	7.99	1.58	1.43	18.75	74.02	30.97	8.36	3.7	
