Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_0512900	PF3D7_0512900.1	AKAL	PF3D7_0512900	0	0	14.19	
PF3D7_0513000	PF3D7_0513000.1	N/A	PF3D7_0513000	1.41	0.09	25.86	
PF3D7_0513100	PF3D7_0513100.1	N/A	PF3D7_0513100	10.21	8.67	44.36	
PF3D7_0513200	PF3D7_0513200.1	N/A	PF3D7_0513200	2.8	3	49.1	
PF3D7_0513300	PF3D7_0513300.1	PNP	PF3D7_0513300	10.73	0.79	56.56	
PF3D7_0513400	PF3D7_0513400.1	YihA1	PF3D7_0513400	47.32	4.23	20.21	
PF3D7_0513500	PF3D7_0513500.1	PAM16	PF3D7_0513500	39.85	36.13	20.75	
PF3D7_0513600	PF3D7_0513600.1	N/A	PF3D7_0513600	6.61	1.96	84.47	
PF3D7_0513700	PF3D7_0513700.1	PSOP12	PF3D7_0513700	4.8	1.52	31.21	
PF3D7_0513800	PF3D7_0513800.1	RAB1a	PF3D7_0513800	0	2.33	43.31	
PF3D7_0513900	PF3D7_0513900.1	N/A	PF3D7_0513900	9.66	2.83	33.15	
PF3D7_0514000	PF3D7_0514000.1	TTL	PF3D7_0514000	59.53	11.53	29.02	
PF3D7_0514100	PF3D7_0514100.1	UvrD	PF3D7_0514100	23.96	28.52	51.98	
PF3D7_0514200	PF3D7_0514200.1	N/A	PF3D7_0514200	7.24	9.82	68.2	
PF3D7_0514300	PF3D7_0514300.1	N/A	PF3D7_0514300	2.1	1.83	49.42	
PF3D7_0514500	PF3D7_0514500.1	N/A	PF3D7_0514500	7.19	1.8	35.38	
PF3D7_0514600	PF3D7_0514600.1	N/A	PF3D7_0514600	5.71	0.72	38.01	
PF3D7_0514700	PF3D7_0514700.1	N/A	PF3D7_0514700	1.27	0.23	54.06	
PF3D7_0514800	PF3D7_0514800.1	N/A	PF3D7_0514800	2.83	0.94	21.13	
PF3D7_0514900	PF3D7_0514900.1	N/A	PF3D7_0514900	7.34	7.02	44.7	
PF3D7_0515000	PF3D7_0515000.1	CWC2	PF3D7_0515000	9.5	73.12	245.23	
PF3D7_0515100	PF3D7_0515100.1	ROM9	PF3D7_0515100	12.71	10.18	48.33	
PF3D7_0515200	PF3D7_0515200.1	N/A	PF3D7_0515200	16.28	6.96	34.63	
PF3D7_0515300	PF3D7_0515300.1	PI3K	PF3D7_0515300	17.89	12.23	74.58	
PF3D7_0515400	PF3D7_0515400.1	N/A	PF3D7_0515400	27.56	10.58	49.77	
PF3D7_0515500	PF3D7_0515500.1	GEP1	PF3D7_0515500	3.85	2.25	42.6	
PF3D7_0515600	PF3D7_0515600.1	GEP	PF3D7_0515600	3.53	0.41	72.96	
PF3D7_0515700	PF3D7_0515700.1	GAP40	PF3D7_0515700	16.88	16.58	73.18	
PF3D7_0515800	PF3D7_0515800.1	N/A	PF3D7_0515800	3.84	1.14	9.99	
PF3D7_0515900	PF3D7_0515900.1	NIF2	PF3D7_0515900	11.23	18.74	51.76	
PF3D7_0516000	PF3D7_0516000.1	N/A	PF3D7_0516000	0.7	2.53	28.39	
PF3D7_0516100	PF3D7_0516100.1	ATPase1	PF3D7_0516100	1.93	0.51	37.44	
PF3D7_0516200	PF3D7_0516200.1	RPS11	PF3D7_0516200	14.75	2.24	78.82	
PF3D7_0516300	PF3D7_0516300.1	N/A	PF3D7_0516300	0.74	0.32	25.52	
PF3D7_0516400	PF3D7_0516400.1	PhLP1	PF3D7_0516400	6.47	6.29	71.31	
PF3D7_0516500	PF3D7_0516500.1	MFS1	PF3D7_0516500	31.02	36.94	39.4	
PF3D7_0516600	PF3D7_0516600.1	MB2	PF3D7_0516600	3.91	9.68	62.31	
PF3D7_0516700	PF3D7_0516700.1	N/A	PF3D7_0516700	26.54	19.12	52.72	
PF3D7_0516800	PF3D7_0516800.1	ApiAP2	PF3D7_0516800	8.8	37.88	82.68	
PF3D7_0516900	PF3D7_0516900.1	RPL2	PF3D7_0516900	31.84	10.14	194.46	
PF3D7_0517000	PF3D7_0517000.1	N/A	PF3D7_0517000	186.16	110.42	98.31	
PF3D7_0517100	PF3D7_0517100.1	N/A	PF3D7_0517100	2.82	4.53	58.14	
PF3D7_0517200	PF3D7_0517200.1	N/A	PF3D7_0517200	8.29	16.88	363.34	
PF3D7_0517300	PF3D7_0517300.1	SR1	PF3D7_0517300	13.14	74.38	264.55	
PF3D7_0517400	PF3D7_0517400.1	FACT-L	PF3D7_0517400	4.32	19.3	275.57	
PF3D7_0517500	PF3D7_0517500.1	N/A	PF3D7_0517500	5.45	0.87	54.26	
PF3D7_0517600	PF3D7_0517600.1	CPbeta	PF3D7_0517600	17.29	10.03	75.34	
PF3D7_0517700	PF3D7_0517700.1	EIF3B	PF3D7_0517700	11.85	4.88	88.15	
PF3D7_0517800	PF3D7_0517800.1	DCX	PF3D7_0517800	0.53	0.3	31.38	
PF3D7_0517900	PF3D7_0517900.1	N/A	PF3D7_0517900	0.68	0.17	59.78	
PF3D7_0518000	PF3D7_0518000.1	N/A	PF3D7_0518000	0	0.72	40.55	
PF3D7_0518100	PF3D7_0518100.1	AMR2	PF3D7_0518100	10	5.79	63.78	
PF3D7_0518200	PF3D7_0518200.1	MDM2	PF3D7_0518200	3.48	0.18	15.01	
PF3D7_0518300	PF3D7_0518300.1	N/A	PF3D7_0518300	3.79	0.91	23.88	
PF3D7_0518400	PF3D7_0518400.1	CYC3	PF3D7_0518400	0	0.84	30.56	
PF3D7_0518500	PF3D7_0518500.1	DDX23	PF3D7_0518500	7.93	15.47	92.28	
PF3D7_0518600	PF3D7_0518600.1	WDR26	PF3D7_0518600	10.7	10.42	49.05	
PF3D7_0518700	PF3D7_0518700.1	PUF1	PF3D7_0518700	40.91	44.59	60.58	
PF3D7_0518800	PF3D7_0518800.1	PSOP13	PF3D7_0518800	2.87	2.02	57.57	
PF3D7_0518900	PF3D7_0518900.1	N/A	PF3D7_0518900	167.21	32.75	26.12	
PF3D7_0519000	PF3D7_0519000.1	SLBP	PF3D7_0519000	3.72	6.11	52.14	
PF3D7_0519100	PF3D7_0519100.1	N/A	PF3D7_0519100	13.04	167.04	114.34	
PF3D7_0519200	PF3D7_0519200.1	N/A	PF3D7_0519200	1327.36	210.03	246.35	
PF3D7_0519300	PF3D7_0519300.1	COX10	PF3D7_0519300	6.14	16.39	107.56	
PF3D7_0519400	PF3D7_0519400.1	RPS24	PF3D7_0519400	64.98	181.18	148.9	
PF3D7_0519500	PF3D7_0519500.1	CCR4-1	PF3D7_0519500	16.75	80.95	129.87	
PF3D7_0519600	PF3D7_0519600.1	N/A	PF3D7_0519600	1.34	5.59	133.96	
PF3D7_0519700	PF3D7_0519700.1	N/A	PF3D7_0519700	469.6	699.43	94.83	
PF3D7_0519800	PF3D7_0519800.1	N/A	PF3D7_0519800	174.69	1034	109.99	
PF3D7_0519900	PF3D7_0519900.1	N/A	PF3D7_0519900	7.87	5.03	26.81	
PF3D7_0520000	PF3D7_0520000.1	RPS9	PF3D7_0520000	60.03	70.02	142.75	
PF3D7_0520100	PF3D7_0520100.1	PPM9	PF3D7_0520100	1.37	0.58	37.49	
PF3D7_0520200	PF3D7_0520200.1	MED17	PF3D7_0520200	1.63	1.15	27.57	
PF3D7_0520300	PF3D7_0520300.1	LSM2	PF3D7_0520300	0	3.27	27.21	
PF3D7_0520400	PF3D7_0520400.1	N/A	PF3D7_0520400	48.14	21.38	24.52	
PF3D7_0520500	PF3D7_0520500.1	N/A	PF3D7_0520500	47.51	40.44	70.07	
PF3D7_0520600	PF3D7_0520600.1	Ap4AH	PF3D7_0520600	10.14	9.68	18.81	
PF3D7_0520700	PF3D7_0520700.1	N/A	PF3D7_0520700	4.79	1.84	22.11	
PF3D7_0520800	PF3D7_0520800.1	N/A	PF3D7_0520800	6.05	6.4	25.2	
PF3D7_0520900	PF3D7_0520900.1	SAHH	PF3D7_0520900	4.01	5.11	194.47	
PF3D7_0521000	PF3D7_0521000.1	N/A	PF3D7_0521000	1.22	0.56	38.17	
PF3D7_0521100	PF3D7_0521100.1	N/A	PF3D7_0521100	1.51	0.16	29.01	
PF3D7_0521200	PF3D7_0521200.1	N/A	PF3D7_0521200	4.15	1.55	33.12	
PF3D7_0521300	PF3D7_0521300.1	N/A	PF3D7_0521300	45.29	46.07	21.94	
PF3D7_0521400	PF3D7_0521400.1	N/A	PF3D7_0521400	2.39	1.51	30.75	
PF3D7_0521500	PF3D7_0521500.1	N/A	PF3D7_0521500	0.26	1.64	36.63	
PF3D7_0521600	PF3D7_0521600.1	N/A	PF3D7_0521600	68.45	342.9	65.65	
PF3D7_0521700	PF3D7_0521700.1	DDX1	PF3D7_0521700	16.65	32.47	58.15	
PF3D7_0521800	PF3D7_0521800.1	N/A	PF3D7_0521800	5.6	5.12	23.95	
PF3D7_0521900	PF3D7_0521900.1	N/A	PF3D7_0521900	1.07	1.5	71.1	
PF3D7_0522000	PF3D7_0522000.1	N/A	PF3D7_0522000	53.4	52.15	75.12	
PF3D7_0522100	PF3D7_0522100.1	N/A	PF3D7_0522100	8.21	21.7	26.92	
PF3D7_0522200	PF3D7_0522200.1	TAF10	PF3D7_0522200	13.62	39.22	47.57	
PF3D7_0522300	PF3D7_0522300.1	N/A	PF3D7_0522300	2.3	2.03	182.84	
PF3D7_0522400	PF3D7_0522400.1	N/A	PF3D7_0522400	1.73	1.56	30.37	
PF3D7_0522500	PF3D7_0522500.1	RPL17	PF3D7_0522500	9.42	11.05	42.65	
PF3D7_0522600	PF3D7_0522600.1	N/A	PF3D7_0522600	48.4	10.23	31.58	
PF3D7_0522700	PF3D7_0522700.1	SufA	PF3D7_0522700	4	1.77	73.4	
PF3D7_0522800	PF3D7_0522800.1	BUD31	PF3D7_0522800	0.86	2.46	128.12	
PF3D7_0522900	PF3D7_0522900.1	N/A	PF3D7_0522900	31.9	26.33	54.15	
PF3D7_0523000	PF3D7_0523000.1	MDR1	PF3D7_0523000	4.36	3.8	66.93	
PF3D7_0523100	PF3D7_0523100.1	N/A	PF3D7_0523100	1.33	0.91	19.48	
PF3D7_0523200	PF3D7_0523200.1	N/A	PF3D7_0523200	3.15	1.21	22.98	
PF3D7_0523300	PF3D7_0523300.1	N/A	PF3D7_0523300	1.93	3.15	77.41	
PF3D7_0523400	PF3D7_0523400.1	N/A	PF3D7_0523400	182.13	135.35	53.17	
PF3D7_0523500	PF3D7_0523500.1	N/A	PF3D7_0523500	5.14	2.56	33.51	
PF3D7_0523600	PF3D7_0523600.1	N/A	PF3D7_0523600	0.61	0.35	44.67	
PF3D7_0523700	PF3D7_0523700.1	N/A	PF3D7_0523700	2.85	3.62	15.41	
PF3D7_0523800	PF3D7_0523800.1	N/A	PF3D7_0523800	15.78	14.85	68.38	
PF3D7_0523900	PF3D7_0523900.1	N/A	PF3D7_0523900	4.44	5.83	41.62	
PF3D7_0524000	PF3D7_0524000.1	KASbeta	PF3D7_0524000	25.45	19.27	49.94	
PF3D7_0524100	PF3D7_0524100.1	N/A	PF3D7_0524100	44.8	34.35	47.02	
PF3D7_0524200	PF3D7_0524200.1	N/A	PF3D7_0524200	28.96	9.08	24.34	
PF3D7_0524300	PF3D7_0524300.1	N/A	PF3D7_0524300	6.86	5.67	62	
PF3D7_0524400	PF3D7_0524400.1	RBG1	PF3D7_0524400	41.44	37.55	50.52	
PF3D7_0524500	PF3D7_0524500.1	N/A	PF3D7_0524500	2.04	3.92	19.78	
PF3D7_0524600	PF3D7_0524600.1	N/A	PF3D7_0524600	11.17	23.9	66.36	
PF3D7_0524700	PF3D7_0524700.1	TOM22	PF3D7_0524700	15.78	12.83	41.83	
PF3D7_0524800	PF3D7_0524800.1	UFD1	PF3D7_0524800	4.58	0.62	24.96	
PF3D7_0524900	PF3D7_0524900.1	TYW1	PF3D7_0524900	3.66	4.12	115.85	
PF3D7_0525000	PF3D7_0525000.1	N/A	PF3D7_0525000	24.53	16.46	55.93	
PF3D7_0525100	PF3D7_0525100.1	ACS10	PF3D7_0525100	45.92	31.19	93.36	
PF3D7_0525200	PF3D7_0525200.1	SMC6	PF3D7_0525200	4.91	5.74	64.84	
PF3D7_0525300	PF3D7_0525300.1	N/A	PF3D7_0525300	44.8	39.94	49.42	
PF3D7_0525400	PF3D7_0525400.1	N/A	PF3D7_0525400	2.35	0.62	39.91	
PF3D7_0525500	PF3D7_0525500.1	N/A	PF3D7_0525500	2.54	1.34	35.25	
PF3D7_0525600	PF3D7_0525600.1	N/A	PF3D7_0525600	6.29	1.72	30.95	
PF3D7_0525700	PF3D7_0525700.1	N/A	PF3D7_0525700	16.26	5.89	30.02	
PF3D7_0525800	PF3D7_0525800.1	IMC1g	PF3D7_0525800	287.56	64.29	39.96	
PF3D7_0525900	PF3D7_0525900.1	NEK2	PF3D7_0525900	1.58	1.02	227.79	
PF3D7_0526000	PF3D7_0526000.1	N/A	PF3D7_0526000	19.55	12.97	23.38	
PF3D7_0526100	PF3D7_0526100.1	N/A	PF3D7_0526100	5.6	2.61	53.96	
PF3D7_0526200	PF3D7_0526200.1	ARFGAP2	PF3D7_0526200	167.91	96.3	40.19	
PF3D7_0526200	PF3D7_0526200.2	ARFGAP2	PF3D7_0526200	167.91	96.3	40.19	
PF3D7_0526300	PF3D7_0526300.1	WDR55	PF3D7_0526300	11.58	27.13	33.48	
PF3D7_0526400	PF3D7_0526400.1	N/A	PF3D7_0526400	16.27	6.91	23.19	
PF3D7_0526500	PF3D7_0526500.1	N/A	PF3D7_0526500	3.62	3.94	127.06	
PF3D7_0526600	PF3D7_0526600.1	N/A	PF3D7_0526600	61.17	128.72	89.56	
PF3D7_0526700	PF3D7_0526700.1	N/A	PF3D7_0526700	3.31	3.26	35.51	
PF3D7_0526800	PF3D7_0526800.1	N/A	PF3D7_0526800	18.07	51.85	109.55	
PF3D7_0526900	PF3D7_0526900.1	N/A	PF3D7_0526900	69.36	29.36	104.87	
PF3D7_0527000	PF3D7_0527000.1	MCM3	PF3D7_0527000	69.17	50.85	145.37	
PF3D7_0527100	PF3D7_0527100.1	UBC13	PF3D7_0527100	15.33	8.41	25.59	
PF3D7_0527200	PF3D7_0527200.1	USP14	PF3D7_0527200	9.55	3.65	37.13	
PF3D7_0527300	PF3D7_0527300.1	METAP1a	PF3D7_0527300	17.32	11.03	47.6	
PF3D7_0527400	PF3D7_0527400.1	N/A	PF3D7_0527400	3.3	5.1	14.74	
PF3D7_0527500	PF3D7_0527500.1	HIP	PF3D7_0527500	23.14	30.31	123.01	
PF3D7_0527600	PF3D7_0527600.1	N/A	PF3D7_0527600	10.09	2.93	29.07	
PF3D7_0527900	PF3D7_0527900.1	DDX41	PF3D7_0527900	2.21	1.68	123.16	
PF3D7_0528000	PF3D7_0528000.1	UMP1	PF3D7_0528000	10.26	3.11	20.38	
PF3D7_0528100	PF3D7_0528100.1	N/A	PF3D7_0528100	104.24	116.43	56.45	
PF3D7_0528200	PF3D7_0528200.1	EIF3E	PF3D7_0528200	19.76	13.59	126.57	
PF3D7_0528300	PF3D7_0528300.1	N/A	PF3D7_0528300	31.3	33.07	27.33	
PF3D7_0528400	PF3D7_0528400.1	DHHC7	PF3D7_0528400	190.8	153.13	105.93	
PF3D7_0528500	PF3D7_0528500.1	CPalpha	PF3D7_0528500	9.9	5.04	23.74	
PF3D7_0528600	PF3D7_0528600.1	N/A	PF3D7_0528600	46.68	72.15	123.71	
PF3D7_0528700	PF3D7_0528700.1	CYP23	PF3D7_0528700	35.29	19.54	32.21	
PF3D7_0528800	PF3D7_0528800.1	N/A	PF3D7_0528800	9.73	7.09	27.62	
PF3D7_0528900	PF3D7_0528900.1	N/A	PF3D7_0528900	4.26	12.83	52.73	
PF3D7_0529000	PF3D7_0529000.1	N/A	PF3D7_0529000	102.52	155.52	83	
PF3D7_0529100	PF3D7_0529100.1	ATrx2	PF3D7_0529100	0.69	3.83	31.79	
PF3D7_0529200	PF3D7_0529200.1	N/A	PF3D7_0529200	26.73	15.12	41.5	
PF3D7_0529300	PF3D7_0529300.1	TIC22	PF3D7_0529300	313.89	116.88	57.11	
PF3D7_0529400	PF3D7_0529400.1	N/A	PF3D7_0529400	80.37	86.09	87.13	
PF3D7_0529400	PF3D7_0529400.2	N/A	PF3D7_0529400	80.37	86.09	87.13	
PF3D7_0529500	PF3D7_0529500.1	N/A	PF3D7_0529500	4.7	5.13	50.05	
PF3D7_0529700	PF3D7_0529700.1	N/A	PF3D7_0529700	4.58	1.75	23.89	
PF3D7_0529800	PF3D7_0529800.1	N/A	PF3D7_0529800	24.83	73.28	72.45	
PF3D7_0529900	PF3D7_0529900.1	N/A	PF3D7_0529900	164.19	210.33	58.59	
PF3D7_0530000	PF3D7_0530000.1	N/A	PF3D7_0530000	29.26	11.64	50.54	
PF3D7_0530100	PF3D7_0530100.1	SYN6	PF3D7_0530100	47.71	13.11	63.66	
PF3D7_0530200	PF3D7_0530200.1	PPT	PF3D7_0530200	1.45	2.91	22.01	
PF3D7_0530300	PF3D7_0530300.1	N/A	PF3D7_0530300	1.19	2.23	97.86	
PF3D7_0530400	PF3D7_0530400.1	N/A	PF3D7_0530400	1.88	1.89	103.45	
PF3D7_0530500	PF3D7_0530500.1	N/A	PF3D7_0530500	0.5	0.38	76.31	
PF3D7_0530600	PF3D7_0530600.1	N/A	PF3D7_0530600	1.98	0.76	155.09	
PF3D7_0530700	PF3D7_0530700.1	N/A	PF3D7_0530700	2.02	0.83	53.65	
PF3D7_0530750	PF3D7_0530750.1	DPM3	PF3D7_0530750	0	0.27	34.21	
PF3D7_0530800	PF3D7_0530800.1	N/A	PF3D7_0530800	2.79	1.24	77.87	
PF3D7_0530900	PF3D7_0530900.1	FRM1	PF3D7_0530900	3.91	3.22	71.81	
PF3D7_0531000	PF3D7_0531000.1	N/A	PF3D7_0531000	55.26	18.09	44.18	
PF3D7_0531100	PF3D7_0531100.1	N/A	PF3D7_0531100	1.51	10.21	70.06	
PF3D7_0531200	PF3D7_0531200.1	N/A	PF3D7_0531200	0.59	24.62	62.6	
PF3D7_0531300	PF3D7_0531300.1	N/A	PF3D7_0531300	0	13.29	75.69	
PF3D7_0531400	PF3D7_0531400.1	N/A	PF3D7_0531400	35.01	97.67	133.41	
PF3D7_0532100	PF3D7_0532100.1	ETRAMP5	PF3D7_0532100	1019.23	613.77	444.47	
PF3D7_0532200	PF3D7_0532200.1	N/A	PF3D7_0532200	2.27	19.25	70.02	
PF3D7_0532300	PF3D7_0532300.1	N/A	PF3D7_0532300	0.75	6.09	48.56	
PF3D7_0532400	PF3D7_0532400.1	LyMP	PF3D7_0532400	2.57	2.94	166.74	
PF3D7_0532500	PF3D7_0532500.1	N/A	PF3D7_0532500	0	1.79	37.5	
PF3D7_0532600	PF3D7_0532600.1	N/A	PF3D7_0532600	0	0.45	32.9	
PF3D7_0532700	PF3D7_0532700.1	VAR	PF3D7_0532700	1.79	0.69	36.17	
PF3D7_0532800	PF3D7_0532800.1	N/A	PF3D7_0532800	0	0.56	15.48	
PF3D7_0532900	PF3D7_0532900.1	RIF	PF3D7_0532900	1.59	1.45	243.23	
PF3D7_0533000	PF3D7_0533000.1	RIF	PF3D7_0533000	0	0.71	34.65	
PF3D7_0533100	PF3D7_0533100.1	VAR1CSA	PF3D7_0533100	1.61	0.53	98.84	
PF3D7_0600100	PF3D7_0600100.1	VAR	PF3D7_0600100	2.25	0.19	52.07	
PF3D7_0600200	PF3D7_0600200.1	VAR	PF3D7_0600200	2.48	0.07	72.01	
PF3D7_0600300	PF3D7_0600300.1	RIF	PF3D7_0600300	0.34	0.39	161.79	
PF3D7_0600400	PF3D7_0600400.1	VAR	PF3D7_0600400	0.19	0.02	31.84	
PF3D7_0600500	PF3D7_0600500.1	RIF	PF3D7_0600500	1.7	0	51.34	
PF3D7_0600600	PF3D7_0600600.1	VAR	PF3D7_0600600	17.7	0.33	74.66	
PF3D7_0600700	PF3D7_0600700.1	RIF	PF3D7_0600700	5.84	0	72.37	
PF3D7_0600800	PF3D7_0600800.1	RIF	PF3D7_0600800	0.92	0.27	241.67	
PF3D7_0600900	PF3D7_0600900.1	RIF	PF3D7_0600900	1.18	0.15	279.04	
PF3D7_0601000	PF3D7_0601000.1	EPF4	PF3D7_0601000	0	0.08	4.87	
PF3D7_0601100	PF3D7_0601100.1	EPF3	PF3D7_0601100	0	0	7.96	
PF3D7_0601200	PF3D7_0601200.1	MC-2TM	PF3D7_0601200	0	0.41	12.04	
PF3D7_0601300	PF3D7_0601300.1	EPF1	PF3D7_0601300	0	0	3	
PF3D7_0601400	PF3D7_0601400.1	VAR	PF3D7_0601400	1.63	0	31.9	
PF3D7_0601500	PF3D7_0601500.1	N/A	PF3D7_0601500	1.1	0.62	43.64	
PF3D7_0601600	PF3D7_0601600.1	N/A	PF3D7_0601600	0.91	0	14.46	
PF3D7_0601700	PF3D7_0601700.1	N/A	PF3D7_0601700	0.87	0.17	32.37	
PF3D7_0601900	PF3D7_0601900.1	N/A	PF3D7_0601900	7.49	9.79	130.54	
PF3D7_0602000	PF3D7_0602000.1	N/A	PF3D7_0602000	1.39	1.45	59.76	
PF3D7_0602100	PF3D7_0602100.1	MTR4	PF3D7_0602100	1.09	3.14	62.53	
PF3D7_0602200	PF3D7_0602200.1	N/A	PF3D7_0602200	14.27	7.87	50.71	
PF3D7_0602300	PF3D7_0602300.1	PALM	PF3D7_0602300	3.62	2	17.67	
PF3D7_0602400	PF3D7_0602400.1	EF-G	PF3D7_0602400	3.23	0.91	63.56	
PF3D7_0602500	PF3D7_0602500.1	N/A	PF3D7_0602500	3.75	0.38	31.4	
PF3D7_0602600	PF3D7_0602600.1	N/A	PF3D7_0602600	8.83	7.74	77.87	
PF3D7_0602700	PF3D7_0602700.1	N/A	PF3D7_0602700	1.09	0.52	29.9	
PF3D7_0602800	PF3D7_0602800.1	JmjC2	PF3D7_0602800	2.12	1.09	50.3	
PF3D7_0602900	PF3D7_0602900.1	N/A	PF3D7_0602900	6.3	23.35	23.73	
PF3D7_0603000	PF3D7_0603000.1	N/A	PF3D7_0603000	8.7	55.03	118.84	
PF3D7_0603100	PF3D7_0603100.1	N/A	PF3D7_0603100	1.41	1.5	35.09	
PF3D7_0603200	PF3D7_0603200.1	BCS1	PF3D7_0603200	6.2	0.26	18.99	
PF3D7_0603300	PF3D7_0603300.1	DHODH	PF3D7_0603300	2.82	0.38	35.09	
PF3D7_0603400	PF3D7_0603400.1	TEX1	PF3D7_0603400	14.47	47.68	176.67	
PF3D7_0603500	PF3D7_0603500.1	CAX	PF3D7_0603500	3.78	1.32	24.76	
PF3D7_0603600	PF3D7_0603600.1	N/A	PF3D7_0603600	3.07	4.31	62.56	
PF3D7_0603700	PF3D7_0603700.1	mFRS	PF3D7_0603700	1.43	1.8	34.31	
PF3D7_0603800	PF3D7_0603800.1	CEP76	PF3D7_0603800	7.5	12.27	91.94	
PF3D7_0603900	PF3D7_0603900.1	N/A	PF3D7_0603900	1.01	0.26	69.37	
PF3D7_0604000	PF3D7_0604000.1	N/A	PF3D7_0604000	2.41	0.25	101.89	
PF3D7_0604100	PF3D7_0604100.1	SIP2	PF3D7_0604100	4.35	1.07	64.7	
PF3D7_0604200	PF3D7_0604200.1	N/A	PF3D7_0604200	4.82	1.29	50.68	
PF3D7_0604300	PF3D7_0604300.1	N/A	PF3D7_0604300	2.86	1.16	37.23	
PF3D7_0604400	PF3D7_0604400.1	N/A	PF3D7_0604400	0	1.36	43.74	
PF3D7_0604500	PF3D7_0604500.1	N/A	PF3D7_0604500	42.16	103.51	100.23	
PF3D7_0604600	PF3D7_0604600.1	N/A	PF3D7_0604600	1.05	0.71	36.21	
PF3D7_0604700	PF3D7_0604700.1	GILP	PF3D7_0604700	6.94	4.65	128.18	
PF3D7_0604800	PF3D7_0604800.1	N/A	PF3D7_0604800	0.71	0.52	27.58	
PF3D7_0604900	PF3D7_0604900.1	N/A	PF3D7_0604900	0	1.52	28.99	
PF3D7_0605000	PF3D7_0605000.1	N/A	PF3D7_0605000	0.65	5.23	72.08	
PF3D7_0605100	PF3D7_0605100.1	N/A	PF3D7_0605100	67.27	108.87	129.03	
PF3D7_0605200	PF3D7_0605200.1	N/A	PF3D7_0605200	12.79	7.86	140.38	
PF3D7_0605300	PF3D7_0605300.1	ARK1	PF3D7_0605300	5.1	2.33	34.91	
PF3D7_0605400	PF3D7_0605400.1	N/A	PF3D7_0605400	2.03	0.75	28.13	
PF3D7_0605500	PF3D7_0605500.1	N/A	PF3D7_0605500	2.97	0.36	81.3	
PF3D7_0605600	PF3D7_0605600.1	N/A	PF3D7_0605600	3.48	0.49	218.3	
PF3D7_0605700	PF3D7_0605700.1	N/A	PF3D7_0605700	4.05	0.26	69.01	
PF3D7_0605800	PF3D7_0605800.1	RAD50	PF3D7_0605800	8.04	2.78	65.15	
PF3D7_0605900	PF3D7_0605900.1	N/A	PF3D7_0605900	8.32	10.74	71.55	
PF3D7_0606000	PF3D7_0606000.1	KIC1	PF3D7_0606000	16.05	55.97	154.4	
PF3D7_0606100	PF3D7_0606100.1	N/A	PF3D7_0606100	25.22	10.2	41.99	
PF3D7_0606200	PF3D7_0606200.1	PEX4	PF3D7_0606200	188.19	49.02	41.12	
PF3D7_0606300	PF3D7_0606300.1	N/A	PF3D7_0606300	9.54	77.38	22.63	
PF3D7_0606400	PF3D7_0606400.1	N/A	PF3D7_0606400	2.01	1.93	80.86	
PF3D7_0606500	PF3D7_0606500.1	PTB	PF3D7_0606500	1.64	2.16	51.86	
PF3D7_0606600	PF3D7_0606600.1	N/A	PF3D7_0606600	7.02	27.01	194.67	
PF3D7_0606700	PF3D7_0606700.1	N/A	PF3D7_0606700	43.44	34.6	83.55	
PF3D7_0606800	PF3D7_0606800.1	VFT1	PF3D7_0606800	8.68	16.75	81.44	
PF3D7_0606900	PF3D7_0606900.1	GLP2	PF3D7_0606900	6.74	3.42	32.16	
PF3D7_0607000	PF3D7_0607000.1	N/A	PF3D7_0607000	24.93	59.08	113.48	
PF3D7_0607100	PF3D7_0607100.1	N/A	PF3D7_0607100	2.41	1.39	68.01	
PF3D7_0607200	PF3D7_0607200.1	N/A	PF3D7_0607200	4.09	0.62	42.56	
PF3D7_0607300	PF3D7_0607300.1	UROD	PF3D7_0607300	2.77	0.94	29.51	
PF3D7_0607400	PF3D7_0607400.1	N/A	PF3D7_0607400	15.86	9.08	142.69	
PF3D7_0607500	PF3D7_0607500.1	COQ2	PF3D7_0607500	13	3.53	23.76	
PF3D7_0607600	PF3D7_0607600.1	SAS6	PF3D7_0607600	33.36	40.76	53.35	
PF3D7_0607700	PF3D7_0607700.1	N/A	PF3D7_0607700	11.64	17.19	31.49	
PF3D7_0607800	PF3D7_0607800.1	N/A	PF3D7_0607800	2.77	1.33	135.49	
PF3D7_0607900	PF3D7_0607900.1	N/A	PF3D7_0607900	3.36	1.38	37.89	
PF3D7_0608000	PF3D7_0608000.1	DPH7	PF3D7_0608000	13.98	12.56	82.75	
PF3D7_0608100	PF3D7_0608100.1	N/A	PF3D7_0608100	30.16	22.83	31.34	
PF3D7_0608200	PF3D7_0608200.1	N/A	PF3D7_0608200	0	0.93	17.12	
PF3D7_0608300	PF3D7_0608300.1	N/A	PF3D7_0608300	1.94	0.71	26.35	
PF3D7_0608310	PF3D7_0608310.1	SAM50	PF3D7_0608310	7.74	3.26	19.32	
PF3D7_0608400	PF3D7_0608400.1	N/A	PF3D7_0608400	0	5.45	36.15	
PF3D7_0608500	PF3D7_0608500.1	N/A	PF3D7_0608500	2.68	1.54	33.18	
