Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_1118300	PF3D7_1118300.1	N/A	PF3D7_1118300	8.77	20.64	79.86	
PF3D7_1118400	PF3D7_1118400.1	HAD4	PF3D7_1118400	3.82	1.27	25.66	
PF3D7_1118500	PF3D7_1118500.1	NOP56	PF3D7_1118500	29.21	106.54	90.29	
PF3D7_1118600	PF3D7_1118600.1	MYST	PF3D7_1118600	27.54	120.08	171.71	
PF3D7_1118700	PF3D7_1118700.1	MLC-B	PF3D7_1118700	22.16	31.27	78.37	
PF3D7_1118800	PF3D7_1118800.1	ARC40	PF3D7_1118800	0.65	0.68	35.62	
PF3D7_1118900	PF3D7_1118900.1	N/A	PF3D7_1118900	5.72	0.2	29.93	
PF3D7_1119000	PF3D7_1119000.1	N/A	PF3D7_1119000	2.04	1.83	39.69	
PF3D7_1119100	PF3D7_1119100.1	N/A	PF3D7_1119100	2.36	2.02	73.15	
PF3D7_1119200	PF3D7_1119200.1	N/A	PF3D7_1119200	6.08	5.15	176.49	
PF3D7_1119300	PF3D7_1119300.1	U2AF1	PF3D7_1119300	8.95	51.27	143.42	
PF3D7_1119400	PF3D7_1119400.1	N/A	PF3D7_1119400	10.76	9.47	39.46	
PF3D7_1119500	PF3D7_1119500.1	N/A	PF3D7_1119500	4.26	6.06	56.34	
PF3D7_1119600	PF3D7_1119600.1	N/A	PF3D7_1119600	3.07	5.35	52.27	
PF3D7_1119700	PF3D7_1119700.1	N/A	PF3D7_1119700	166.15	173.25	38.08	
PF3D7_1119800	PF3D7_1119800.1	ASF1	PF3D7_1119800	10.95	3.5	24.87	
PF3D7_1119900	PF3D7_1119900.1	SEC16	PF3D7_1119900	2.03	1.39	41.64	
PF3D7_1120000	PF3D7_1120000.1	N/A	PF3D7_1120000	11.1	18.84	91.12	
PF3D7_1120100	PF3D7_1120100.1	PGM1	PF3D7_1120100	9.19	4.16	86.63	
PF3D7_1120200	PF3D7_1120200.1	N/A	PF3D7_1120200	331.44	235.27	56.15	
PF3D7_1120300	PF3D7_1120300.1	MIT1	PF3D7_1120300	28.44	66.84	21.27	
PF3D7_1120400	PF3D7_1120400.1	N/A	PF3D7_1120400	8.15	17.5	69.95	
PF3D7_1120500	PF3D7_1120500.1	N/A	PF3D7_1120500	38.86	80.71	83.02	
PF3D7_1120600	PF3D7_1120600.1	N/A	PF3D7_1120600	3.83	2.11	46.33	
PF3D7_1120700	PF3D7_1120700.1	N/A	PF3D7_1120700	7.97	11.08	63.36	
PF3D7_1120800	PF3D7_1120800.1	N/A	PF3D7_1120800	3.02	1.16	26.39	
PF3D7_1120900	PF3D7_1120900.1	HSBP	PF3D7_1120900	5.56	2.13	25.24	
PF3D7_1121000	PF3D7_1121000.1	DHHC3	PF3D7_1121000	101.52	158.97	27.76	
